ID,iso2c,iso3c,country,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,region,income,co2_percap
28,AE,ARE,United Arab Emirates,1994,71492.9296,72.674,2328686,21.26,7.2,Middle East & North Africa,High income,31.40439759
29,AE,ARE,United Arab Emirates,2007,74698.27438,75.828,6044067,13,4.8,Middle East & North Africa,High income,22.43980121
30,AE,ARE,United Arab Emirates,1996,75977.39342,73.21,2571020,19.229,6.6,Middle East & North Africa,High income,15.97008152
31,AE,ARE,United Arab Emirates,1993,69085.12599,72.401,2207405,22.414,7.4,Middle East & North Africa,High income,29.890451
32,AE,ARE,United Arab Emirates,2005,82205.94527,75.422,4579562,14.024,5.1,Middle East & North Africa,High income,25.36237265
33,AE,ARE,United Arab Emirates,1991,70641.76566,71.837,1970026,24.806,8,Middle East & North Africa,High income,28.93913532
34,AE,ARE,United Arab Emirates,1992,70495.96053,72.122,2086639,23.609,7.7,Middle East & North Africa,High income,27.86136845
35,AE,ARE,United Arab Emirates,1995,74045.22987,72.943,2448820,20.187,6.9,Middle East & North Africa,High income,28.8469908
36,AE,ARE,United Arab Emirates,2004,85090.28275,75.2,4087931,14.533,5.2,Middle East & North Africa,High income,27.70120802
37,AE,ARE,United Arab Emirates,2003,82571.36099,74.968,3741932,15.024,5.4,Middle East & North Africa,High income,28.55255307
38,AE,ARE,United Arab Emirates,1999,76193.70048,73.987,2988162,17.014,6,Middle East & North Africa,High income,26.22842771
39,AE,ARE,United Arab Emirates,2009,59160.00185,76.183,7666393,12.073,4.6,Middle East & North Africa,High income,21.90855608
40,AE,ARE,United Arab Emirates,2008,68902.19905,76.012,6894278,12.521,4.7,Middle East & North Africa,High income,22.82394719
41,AE,ARE,United Arab Emirates,1990,71786.11283,71.541,1860174,25.963,8.3,Middle East & North Africa,High income,27.95924521
43,AE,ARE,United Arab Emirates,2000,81818.62052,74.239,3154925,16.465,5.8,Middle East & North Africa,High income,35.67825923
44,AE,ARE,United Arab Emirates,2010,56415.07405,76.344,8270684,11.656,4.4,Middle East & North Africa,High income,19.44369027
45,AE,ARE,United Arab Emirates,2006,81305.37481,75.632,5242032,13.507,5,Middle East & North Africa,High income,23.63108943
46,AE,ARE,United Arab Emirates,2011,58404.01559,76.498,8672475,11.265,4.3,Middle East & North Africa,High income,19.07648878
47,AE,ARE,United Arab Emirates,2012,60914.80308,76.648,8900453,10.895,4.2,Middle East & North Africa,High income,19.81768422
48,AE,ARE,United Arab Emirates,2001,80488.68974,74.487,3326032,15.971,5.6,Middle East & North Africa,High income,30.49115342
49,AE,ARE,United Arab Emirates,2014,67553.87107,76.948,9070867,10.202,4.1,Middle East & North Africa,High income,23.30202251
50,AE,ARE,United Arab Emirates,2002,79388.01098,74.73,3507232,15.5,5.5,Middle East & North Africa,High income,24.15124891
51,AE,ARE,United Arab Emirates,1997,79612.86777,73.473,2700010,18.385,6.4,Middle East & North Africa,High income,15.42443139
52,AE,ARE,United Arab Emirates,2013,64713.13121,76.798,9006263,10.54,4.1,Middle East & North Africa,High income,18.95416379
54,AE,ARE,United Arab Emirates,1998,76783.54247,73.732,2838145,17.648,6.2,Middle East & North Africa,High income,28.7143215
61,AF,AFG,Afghanistan,2002,875.5176104,56.637,21979923,47.252,58.9,South Asia,Low income,0.048715548
64,AF,AFG,Afghanistan,2006,1065.619665,59.11,25893450,43.937,53.7,South Asia,Low income,0.063728472
